"PKEY","HEIGHT","FCODE","DESCRIPTION","STATUS",
2303,14.5,"BLMU60","MUSEUM point","Existing",
3164,19.3,"BLMU60","MUSEUM point","Existing",
4644,7.1,"BLMU60","MUSEUM point","Existing",
5357,5,"BLMU60","MUSEUM point","Existing",
5577,2.1,"BLMU60","MUSEUM point","Existing",
9221,17.4,"BLMU60","MUSEUM point","Existing",
11393,5,"BLMU60","MUSEUM point","Existing",
31766,3,"BLMU60","MUSEUM point","Existing",
24129,19.9,"BLMU60","MUSEUM point","Existing",
22003,19.3,"BLMU60","MUSEUM point","Existing",
62481,99.5,"BLMU60","MUSEUM point","Existing",
71866,20.7,"BLMU60","MUSEUM point","Existing",
100184,151.178,"BLMU60","MUSEUM point","Existing",
99520,7.7,"BLMU60","MUSEUM point","Existing",
106765,23.9,"BLMU60","MUSEUM point","Existing",
110480,131.99,"BLMU60","MUSEUM point","Existing",
233595,26.6,"BLMU60","MUSEUM point","Existing",
213311,43.2,"BLMU60","MUSEUM point","Existing",
221638,19.3,"BLMU60","MUSEUM point","Existing",
213503,28.9,"BLMU60","MUSEUM point","Existing",
219244,11.1,"BLMU60","MUSEUM point","Existing",
275837,26.5,"BLMU60","MUSEUM point","Existing",
265061,90.2,"BLMU60","MUSEUM point","Existing",
297461,24.5,"BLMU60","MUSEUM point","Existing",
293594,16.4,"BLMU60","MUSEUM point","Existing",
287858,55.9,"BLMU60","MUSEUM point","Existing",
303579,52.1,"BLMU60","MUSEUM point","Existing",
301529,29.7,"BLMU60","MUSEUM point","Existing",
339120,12.2,"BLMU60","MUSEUM point","Existing",
339140,20.32,"BLMU60","MUSEUM point","Existing",
340052,22.4,"BLMU60","MUSEUM point","Existing",
321861,14.3,"BLMU60","MUSEUM point","Existing",
346440,36.6,"BLMU60","MUSEUM point","Existing",
342557,23.1,"BLMU60","MUSEUM point","Existing",
342669,50.9,"BLMU60","MUSEUM point","Existing",
372040,17.4,"BLMU60","MUSEUM point","Existing",
372754,20.3,"BLMU60","MUSEUM point","Existing",
387013,18.5,"BLMU60","MUSEUM point","Existing",
453575,7.7,"BLMU60","MUSEUM point","Existing",
471718,25.5,"BLMU60","MUSEUM point","Existing",
472226,47.2,"BLMU60","MUSEUM point","Existing",
502065,23,"BLMU60","MUSEUM point","Existing",
549569,11.467,"BLMU60","MUSEUM point","Existing",
