"PKEY","HEIGHT","FCODE","DESCRIPTION","STATUS",
2170,2.7,"BLMU60","MUSEUM point","Historical",
7449,22.2,"BLMU60","MUSEUM point","Historical",
9013,1,"BLMU60","MUSEUM point","Historical",
10120,3.5,"BLMU60","MUSEUM point","Historical",
9542,6.1,"BLMU60","MUSEUM point","Historical",
40493,17.1,"BLMU60","MUSEUM point","Historical",
35985,7.9,"BLMU60","MUSEUM point","Historical",
36509,5.6,"BLMU60","MUSEUM point","Historical",
42065,14.6,"BLMU60","MUSEUM point","Historical",
41614,3.9,"BLMU60","MUSEUM point","Historical",
36747,4.8,"BLMU60","MUSEUM point","Historical",
23864,7.3,"BLMU60","MUSEUM point","Historical",
24053,9.6,"BLMU60","MUSEUM point","Historical",
58113,31,"BLMU60","MUSEUM point","Historical",
44634,4.2,"BLMU60","MUSEUM point","Historical",
66661,37.8,"BLMU60","MUSEUM point","Historical",
124386,160.4,"BLMU60","MUSEUM point","Historical",
108957,6.9,"BLMU60","MUSEUM point","Historical",
144732,29.6,"BLMU60","MUSEUM point","Historical",
141472,149.444,"BLMU60","MUSEUM point","Historical",
168213,20.7,"BLMU60","MUSEUM point","Historical",
189339,11.4,"BLMU60","MUSEUM point","Historical",
172127,28.3,"BLMU60","MUSEUM point","Historical",
180618,8.9,"BLMU60","MUSEUM point","Historical",
193145,39.475,"BLMU60","MUSEUM point","Historical",
214922,13.6,"BLMU60","MUSEUM point","Historical",
217159,29.5,"BLMU60","MUSEUM point","Historical",
255029,10.3,"BLMU60","MUSEUM point","Historical",
248668,94.5,"BLMU60","MUSEUM point","Historical",
261871,25.1,"BLMU60","MUSEUM point","Historical",
292561,24.444,"BLMU60","MUSEUM point","Historical",
314373,32.1,"BLMU60","MUSEUM point","Historical",
307460,27.6,"BLMU60","MUSEUM point","Historical",
339758,23.2,"BLMU60","MUSEUM point","Historical",
334680,12.8,"BLMU60","MUSEUM point","Historical",
340069,19.82,"BLMU60","MUSEUM point","Historical",
322985,33.4,"BLMU60","MUSEUM point","Historical",
325860,32.8,"BLMU60","MUSEUM point","Historical",
326387,24.5,"BLMU60","MUSEUM point","Historical",
370145,38.674,"BLMU60","MUSEUM point","Historical",
405449,57.5,"BLMU60","MUSEUM point","Historical",
397656,17.7,"BLMU60","MUSEUM point","Historical",
403598,33.2,"BLMU60","MUSEUM point","Historical",
387239,13.115,"BLMU60","MUSEUM point","Historical",
385850,21.7,"BLMU60","MUSEUM point","Historical",
425092,20,"BLMU60","MUSEUM point","Historical",
422798,91.6,"BLMU60","MUSEUM point","Historical",
410069,4.8,"BLMU60","MUSEUM point","Historical",
410464,14.089,"BLMU60","MUSEUM point","Historical",
447037,89.8,"BLMU60","MUSEUM point","Historical",
458632,15.628,"BLMU60","MUSEUM point","Historical",
528324,16.7,"BLMU60","MUSEUM point","Historical",
528327,20.2,"BLMU60","MUSEUM point","Historical",
515435,23.525,"BLMU60","MUSEUM point","Historical",
