Genre,Sub-genre,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (Seconds)
Pop,Dance Pop,0.748,0.916,F sharp/G flat,-2.634,Major,0.0583,0.102,0,0.0653,0.518,122.036,194.754
Pop,Dance Pop,0.726,0.815,B,-4.969,Major,0.0373,0.0724,0.00421,0.357,0.693,99.972,162.6
Pop,Dance Pop,0.675,0.931,C sharp/D flat,-3.432,Minor,0.0742,0.0794,2.33e-5,0.11,0.613,124.008,176.616
Pop,Dance Pop,0.718,0.93,G,-3.778,Major,0.102,0.0287,9.43e-6,0.204,0.277,121.956,169.093
Pop,Dance Pop,0.65,0.833,C sharp/D flat,-4.672,Major,0.0359,0.0803,0,0.0833,0.725,123.976,189.052
Pop,Dance Pop,0.675,0.919,G sharp/A flat,-5.385,Major,0.127,0.0799,0,0.143,0.585,124.982,163.049
Pop,Dance Pop,0.449,0.856,F,-4.788,Minor,0.0623,0.187,0,0.176,0.152,112.648,187.675
Pop,Dance Pop,0.542,0.903,E,-2.419,Minor,0.0434,0.0335,4.83e-6,0.111,0.367,127.936,207.619
Pop,Dance Pop,0.594,0.935,G sharp/A flat,-3.562,Major,0.0565,0.0249,3.97e-6,0.637,0.366,127.015,193.187
Pop,Dance Pop,0.642,0.818,D,-4.552,Major,0.032,0.0567,0,0.0919,0.59,124.957,253.04
Pop,Dance Pop,0.679,0.923,F sharp/G flat,-6.5,Major,0.181,0.146,4.92e-6,0.124,0.752,121.984,207.894
Pop,Dance Pop,0.437,0.774,G sharp/A flat,-4.918,Major,0.0554,0.148,0,0.133,0.329,123.125,203.733
Pop,Dance Pop,0.744,0.726,C sharp/D flat,-4.675,Major,0.0463,0.0399,0,0.374,0.687,121.985,192.507
Pop,Dance Pop,0.572,0.915,F,-4.451,Minor,0.0625,0.0111,0,0.339,0.678,123.919,164.516
Pop,Dance Pop,0.69,0.78,F,-4.446,Minor,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255.238
Pop,Dance Pop,0.805,0.835,C,-4.603,Major,0.0896,0.13,5.03e-6,0.365,0.722,125.028,188.23
Pop,Dance Pop,0.694,0.901,C sharp/D flat,-4.322,Minor,0.0948,0.0702,0,0.427,0.368,118.051,173.548
Pop,Dance Pop,0.678,0.747,A sharp/B flat,-5.289,Minor,0.165,0.0395,0,0.174,0.516,120.002,189.375
Pop,Dance Pop,0.746,0.557,C sharp/D flat,-6.722,Major,0.0542,0.103,0.0036,0.138,0.324,111.961,159.404
Pop,Dance Pop,0.467,0.821,G,-5.466,Major,0.0934,0.00791,4.41e-4,0.131,0.232,122.676,185.366
Pop,Dance Pop,0.572,0.934,F sharp/G flat,-5.053,Minor,0.0446,0.00292,0.0198,0.105,0.204,125.948,215.238
Pop,Dance Pop,0.708,0.913,A,-4.329,Minor,0.0348,0.089,0.081,0.113,0.707,135.016,170.667
Pop,Dance Pop,0.684,0.818,E,-4.477,Minor,0.128,0.0469,3.39e-6,0.119,0.336,123.938,210.968
Pop,Dance Pop,0.732,0.85,C sharp/D flat,-5.999,Major,0.0444,0.114,2.02e-6,0.0388,0.372,124.024,193.548
Pop,Dance Pop,0.62,0.889,B,-3.785,Major,0.0352,0.0163,1.86e-5,0.395,0.422,110.018,205.093
Pop,Dance Pop,0.675,0.76,B,-7.037,Major,0.0434,0.104,0,0.33,0.468,124.933,172.8
Pop,Dance Pop,0.682,0.851,C sharp/D flat,-7.117,Minor,0.0363,0.0146,8.34e-4,0.0289,0.348,126,192.381
Pop,Dance Pop,0.663,0.905,C sharp/D flat,-3.781,Minor,0.0511,0.0325,0,0.333,0.397,125.996,175
Pop,Dance Pop,0.625,0.938,F sharp/G flat,-3.983,Major,0.0517,0.00432,2.6e-4,0.0923,0.371,127.997,166.875
Pop,Dance Pop,0.679,0.909,C sharp/D flat,-2.929,Major,0.105,0.0334,0,0.269,0.819,119.885,155.08
Pop,Dance Pop,0.641,0.869,B,-4.754,Major,0.0423,0.0319,0.00131,0.403,0.358,128.091,178.125
Pop,Dance Pop,0.702,0.814,C,-7.51,Minor,0.0841,0.107,3.03e-5,0.374,0.503,121.993,172
Pop,Dance Pop,0.723,0.837,B,-6.487,Major,0.0389,0.0103,4.77e-4,0.0834,0.643,123.952,177.097
Pop,Dance Pop,0.742,0.864,C,-5.06,Major,0.0976,0.00141,0.00467,0.241,0.727,125.032,169.935
Pop,Dance Pop,0.716,0.815,A sharp/B flat,-4.121,Major,0.0533,0.108,0,0.163,0.351,124.975,220.413
Pop,Dance Pop,0.748,0.831,C sharp/D flat,-5.029,Major,0.115,0.0823,7.36e-5,0.0757,0.894,128.024,185.273
Pop,Dance Pop,0.816,0.833,F,-5.972,Major,0.0511,0.126,9.09e-6,0.0625,0.793,122.032,170.164
Pop,Dance Pop,0.633,0.854,C,-4.046,Minor,0.0432,0.0382,2.83e-5,0.434,0.659,126.026,172.36
Pop,Dance Pop,0.563,0.81,D,-2.921,Major,0.0522,0.00522,0,0.0846,0.495,129.975,247.385
Pop,Dance Pop,0.728,0.815,B,-2.878,Minor,0.046,0.00223,3.17e-4,0.101,0.681,124.019,218.015
Pop,Dance Pop,0.846,0.773,F,-3.503,Major,0.0473,0.0141,2.23e-5,0.204,0.586,124.008,200.444
Pop,Dance Pop,0.693,0.678,G sharp/A flat,-7.159,Major,0.0324,0.0154,6.05e-6,0.101,0.404,103.952,228.267
