"Genre","SubGenre","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Duration"
"Pop","Indie Poptimism",0.485,0.463,"G",-11.059,"Minor",0.0524,0.549,0.00106,0.116,0.383,98.047,200.733
"Latin","Reggaeton",0.796,0.712,"Asharp/Bflat",-4.47,"Minor",0.0541,0.0424,0.00032,0.455,0.478,94.97,211.093
"EDM","Electro House",0.644,0.956,"C",-3.055,"Minor",0.158,0.0388,0.000253,0.331,0.538,121.995,186.393
"R&B","Neo Soul",0.542,0.73,"D",-10.729,"Major",0.0328,0.152,0.000579,0.0721,0.488,82.971,246.6
"Pop","Dance Pop",0.682,0.851,"Csharp/Dflat",-7.117,"Minor",0.0363,0.0146,0.000834,0.0289,0.348,126,192.381
"Pop","Post-Teen Pop",0.616,0.91,"Gsharp/Aflat",-3.316,"Minor",0.124,0.0109,0,0.0806,0.714,150.038,179.6
"Latin","Tropical",0.762,0.559,"F",-6.762,"Minor",0.0529,0.186,0.000229,0.0733,0.291,94.012,158.387
"R&B","New Jack Swing",0.688,0.799,"B",-7.434,"Minor",0.0381,0.00784,0,0.0647,0.592,101.904,270.333
"Rap","Gangster Rap",0.853,0.688,"Gsharp/Aflat",-6.509,"Minor",0.296,0.0118,0,0.151,0.565,150.012,166.693
"Rap","Hip-Hop",0.805,0.916,"D",-6.168,"Major",0.118,0.228,0.000321,0.106,0.623,140.009,227.963
"R&B","Neo Soul",0.618,0.738,"A",-7.908,"Minor",0.0695,0.0933,3.51e-06,0.344,0.741,82.29,353.533
"R&B","Hip-Pop",0.808,0.805,"Csharp/Dflat",-3.392,"Major",0.103,0.00113,0.0585,0.193,0.886,107.965,240.758
"R&B","Hip-Pop",0.463,0.282,"D",-12.075,"Major",0.0424,0.884,0.000158,0.0983,0.244,106.952,204.249
"Rock","Hard Rock",0.633,0.732,"Gsharp/Aflat",-6.785,"Major",0.0707,0.186,1.37e-05,0.13,0.273,126.567,241.507
"Rock","Hard Rock",0.361,0.922,"Fsharp/Gflat",-4.834,"Major",0.0477,0.00675,0.000205,0.121,0.641,180.1,201.7
"Latin","Tropical",0.807,0.668,"Asharp/Bflat",-8.435,"Minor",0.0457,0.0065,0.914,0.121,0.326,120.012,335.336
"Latin","Tropical",0.678,0.812,"Gsharp/Aflat",-2.698,"Major",0.0407,0.0365,1.48e-06,0.0805,0.293,110.035,195.475
"Rap","Hip-Hop",0.857,0.541,"Csharp/Dflat",-7.272,"Minor",0.283,0.419,1.36e-06,0.108,0.565,101.913,173.934
"EDM","Electro House",0.876,0.915,"G",-6.062,"Minor",0.0395,0.92,0.454,0.0914,0.703,130.005,204
"Rap","Trap",0.566,0.964,"B",-4.41,"Minor",0.0793,0.00306,0.837,0.271,0.202,150.003,176
"EDM","Pop EDM",0.657,0.74,"A",-4.644,"Major",0.0564,0.0632,0,0.491,0.524,160.054,175.533
"R&B","Hip-Pop",0.778,0.774,"A",-7.402,"Minor",0.0457,0.052,0.00118,0.109,0.582,124.942,281.171
"R&B","New Jack Swing",0.617,0.678,"Fsharp/Gflat",-6.774,"Major",0.0415,0.263,0,0.323,0.656,132.313,380.36
"Latin","Reggaeton",0.658,0.901,"G",-2.814,"Major",0.0357,0.0478,0,0.12,0.708,93.979,210.52
"Rap","Trap",0.718,0.556,"B",-10.182,"Minor",0.31,0.0298,0,0.337,0.398,93.96,173.617
"Pop","Dance Pop",0.726,0.763,"E",-6.872,"Major",0.0882,0.524,2.64e-06,0.0943,0.516,128.02,160.312
"Rock","Hard Rock",0.496,0.783,"F",-4.762,"Major",0.0314,0.00523,9.2e-05,0.112,0.293,118.002,268.827
"Rap","Gangster Rap",0.597,0.714,"Fsharp/Gflat",-5.506,"Minor",0.109,0.126,0,0.0837,0.368,91.926,260.533
"Latin","Latin Hip-Hop",0.709,0.575,"Fsharp/Gflat",-12.834,"Major",0.122,0.00496,6.61e-06,0.127,0.608,128.99,119.04
"EDM","Pop EDM",0.348,0.922,"G",-4.402,"Minor",0.139,0.0656,0.000265,0.288,0.184,125.775,183.835
"Rock","Hard Rock",0.539,0.858,"Csharp/Dflat",-4.05,"Minor",0.0365,0.000433,1.8e-06,0.102,0.398,107.993,219.467
"Rap","Hip-Hop",0.867,0.7,"E",-6.486,"Minor",0.176,0.0235,1e-04,0.111,0.322,100.007,155.267
"Rock","Hard Rock",0.603,0.886,"F",-3.777,"Minor",0.0837,0.00045,0,0.26,0.395,126.025,229.933
"R&B","New Jack Swing",0.67,0.679,"Fsharp/Gflat",-10.108,"Major",0.0439,0.000105,0.267,0.0643,0.563,104.883,321.027
"EDM","Pop EDM",0.767,0.7,"C",-6.331,"Major",0.068,0.0629,4.57e-06,0.193,0.277,113.979,136.867
"Pop","Electropop",0.413,0.296,"Gsharp/Aflat",-13.904,"Minor",0.0277,0.531,0.801,0.183,0.144,79.273,424
"Rock","Permanent Wave",0.382,0.483,"C",-7.257,"Major",0.0289,0.587,0,0.985,0.346,107.343,181.827
"Rock","Hard Rock",0.439,0.987,"F",-3.576,"Major",0.22,0.00156,1.55e-05,0.424,0.378,163.393,188.867
"Rock","Hard Rock",0.421,0.751,"A",-9.584,"Major",0.0472,0.2,0,0.17,0.789,89.839,145.867
"R&B","Neo Soul",0.795,0.409,"A",-10.134,"Minor",0.0859,0.183,0.00108,0.112,0.518,120.095,176.187
"Rock","Permanent Wave",0.331,0.961,"B",-4.627,"Major",0.0663,0.000146,0,0.322,0.882,168.355,161.72
"EDM","Big Room",0.675,0.822,"F",-5.137,"Major",0.04,0.000109,0.851,0.172,0.144,127.994,298.736
"EDM","Pop EDM",0.894,0.797,"A",-7.904,"Minor",0.0449,0.0495,0.229,0.06,0.664,127.027,194.173
"Latin","Tropical",0.678,0.874,"Fsharp/Gflat",-6.768,"Major",0.0346,0.0283,0.0577,0.104,0.477,118.429,235.036
"Latin","Latin Pop",0.833,0.831,"C",-3.799,"Major",0.0733,0.0436,0.000346,0.214,0.847,96.024,225.107
"Pop","Indie Poptimism",0.857,0.658,"C",-9.8,"Major",0.0388,0.015,0.266,0.105,0.703,122.969,237.227
"R&B","Urban Contemporary",0.529,0.307,"A",-8.24,"Major",0.0335,0.851,0,0.104,0.439,139.785,228.96
"R&B","Neo Soul",0.721,0.624,"Gsharp/Aflat",-7.104,"Major",0.0616,0.618,0.0865,0.106,0.808,89.998,86.482
"Pop","Indie Poptimism",0.608,0.86,"F",-5.324,"Minor",0.0554,0.0991,0,0.262,0.437,127.075,232.947
"EDM","Progessive Electro House",0.785,0.865,"Gsharp/Aflat",-4.064,"Major",0.0307,0.0793,0.00103,0.0469,0.673,122.017,184.555
"Rock","Permanent Wave",0.356,0.367,"D",-13.354,"Minor",0.0411,0.876,0.904,0.108,0.279,109.025,267.68
"EDM","Big Room",0.704,0.936,"Csharp/Dflat",-3.149,"Major",0.0913,0.0671,0.000975,0.0806,0.228,100.006,186.594
"Rock","Permanent Wave",0.793,0.703,"C",-9.548,"Major",0.0581,0.000726,0.88,0.075,0.856,130.27,450.8
"Rock","Hard Rock",0.426,0.618,"C",-6.939,"Major",0.037,0.442,0,0.0972,0.245,151.35,312.093
"R&B","Urban Contemporary",0.82,0.464,"B",-8.45,"Major",0.0481,0.156,0,0.101,0.872,109.374,207.307
"Rock","Classic Rock",0.149,0.637,"D",-7.033,"Major",0.0422,0.405,0.962,0.202,0.365,200.085,194.747
"Rap","Gangster Rap",0.812,0.626,"G",-7.504,"Major",0.366,0.169,0,0.534,0.505,100.968,299.64
"R&B","Urban Contemporary",0.755,0.995,"C",-2.804,"Major",0.163,0.0916,0.698,0.441,0.288,126.065,173.351
"Latin","Latin Pop",0.655,0.797,"D",-4.787,"Major",0.153,0.198,0,0.067,0.839,177.928,229.36
"Rap","Gangster Rap",0.808,0.863,"F",-4.398,"Minor",0.0744,0.228,0,0.156,0.672,140.001,190.4
"EDM","Pop EDM",0.724,0.866,"F",-3.293,"Minor",0.0317,0.00126,0.916,0.346,0.565,123.968,192.627
"EDM","Big Room",0.588,0.927,"Fsharp/Gflat",-1.78,"Minor",0.064,0.00293,0.403,0.211,0.254,127.946,173.087
"R&B","Neo Soul",0.744,0.439,"G",-9.961,"Minor",0.348,0.489,0.000351,0.0814,0.671,93.066,205.12
"EDM","Big Room",0.336,0.845,"A",-5.407,"Minor",0.0504,0.00407,0.772,0.536,0.0396,149.903,217.846
"Rock","Permanent Wave",0.386,0.677,"D",-5.83,"Major",0.0346,0.00841,0.00366,0.341,0.195,126.602,238.24
"Rap","Gangster Rap",0.928,0.771,"Dsharp/Eflat",-5.935,"Minor",0.251,0.102,1.07e-05,0.338,0.679,93.987,231.16
"R&B","Neo Soul",0.644,0.665,"Asharp/Bflat",-7.857,"Minor",0.0456,0.183,0.000622,0.0954,0.824,92.928,273.72
"EDM","Progessive Electro House",0.656,0.983,"Csharp/Dflat",-3.351,"Major",0.051,0.00723,0.718,0.0968,0.193,127.942,215.625
"Rap","Southern Hip-Hop",0.572,0.884,"A",-2.299,"Minor",0.0855,0.305,0.616,0.325,0.532,128.931,256.086
"Rock","Permanent Wave",0.463,0.857,"E",-3.063,"Major",0.0632,0.0506,0,0.184,0.856,111.647,161.92
"Pop","Indie Poptimism",0.647,0.534,"E",-5.439,"Minor",0.0279,0.011,0.000249,0.104,0.673,96.98,187.72
"R&B","Neo Soul",0.576,0.561,"D",-14.122,"Major",0.0423,0.122,0,0.0531,0.908,149.174,238.2
"Pop","Post-Teen Pop",0.459,0.741,"E",-6.43,"Minor",0.0495,0.000189,0,0.481,0.344,189.879,231.013
"Rap","Southern Hip-Hop",0.734,0.584,"Fsharp/Gflat",-6.884,"Minor",0.43,0.148,0,0.383,0.759,130.193,96
"Latin","Tropical",0.701,0.844,"C",-4.485,"Major",0.0766,0.0312,5.37e-05,0.296,0.24,120.004,183.803
"Pop","Indie Poptimism",0.706,0.69,"A",-5.538,"Minor",0.0308,0.0538,0.465,0.281,0.81,100.002,230.053
"Rock","Permanent Wave",0.16,0.615,"C",-8.897,"Major",0.0358,0.689,0.861,0.153,0.302,77.393,336.728
"Pop","Indie Poptimism",0.585,0.85,"F",-5.345,"Major",0.0262,0.00445,0.551,0.0876,0.883,119.999,274.351
"EDM","Big Room",0.678,0.953,"F",-4.964,"Minor",0.102,0.000372,0.91,0.37,0.066,127.981,174.375
"Pop","Electropop",0.619,0.885,"F",-10.265,"Major",0.0358,0.12,0.746,0.0772,0.791,125.556,220.067
"Rap","Hip-Hop",0.547,0.376,"F",-9.531,"Minor",0.0412,0.813,0.868,0.155,0.466,140.674,211.15
"Rock","Permanent Wave",0.449,0.582,"Fsharp/Gflat",-9.434,"Major",0.0622,0.759,0.074,0.136,0.511,118.403,254.653
"R&B","Hip-Pop",0.591,0.892,"Gsharp/Aflat",-6.114,"Minor",0.293,0.0944,0,0.113,0.712,89.849,213.333
"R&B","Urban Contemporary",0.488,0.62,"C",-7.399,"Minor",0.123,0.0895,3.03e-05,0.122,0.378,111.996,221.736
"EDM","Progessive Electro House",0.92,0.811,"Csharp/Dflat",-2.055,"Major",0.0527,0.0156,0.503,0.129,0.936,126.006,192.857
"Pop","Electropop",0.915,0.556,"Csharp/Dflat",-8.601,"Major",0.216,0.0145,0.000179,0.0733,0.67,148.964,170.947
"Latin","Latin Hip-Hop",0.735,0.963,"B",-5.026,"Major",0.191,0.238,0,0.0936,0.347,100.062,211.453
"R&B","Hip-Pop",0.586,0.525,"Csharp/Dflat",-7.163,"Minor",0.0615,0.111,0,0.134,0.508,133.629,260.253
"Rock","Album Rock",0.332,0.687,"A",-8.44,"Minor",0.0787,0.0904,1.3e-05,0.64,0.136,112.307,392.947
"EDM","Big Room",0.634,0.992,"F",-3.073,"Major",0.271,0.00239,0.139,0.66,0.248,150.12,138.4
"EDM","Pop EDM",0.724,0.9,"C",-2.909,"Minor",0.0733,0.0892,0,0.0806,0.523,125.057,188.643
"R&B","Urban Contemporary",0.484,0.59,"A",-6.663,"Major",0.0283,0.795,0.00306,0.155,0.324,140.588,201.067
"Latin","Latin Pop",0.847,0.736,"Csharp/Dflat",-4.542,"Major",0.266,0.0532,0.000142,0.0302,0.876,160.012,171
"Pop","Indie Poptimism",0.564,0.945,"Csharp/Dflat",-4.705,"Major",0.0493,0.0189,0,0.359,0.399,101.003,246.333
"R&B","Neo Soul",0.554,0.313,"E",-8.542,"Major",0.0352,0.844,5.76e-05,0.105,0.507,82.672,164.56
"EDM","Big Room",0.886,0.692,"G",-5.193,"Major",0.186,0.171,0.00016,0.372,0.668,123.994,192.591
"EDM","Pop EDM",0.657,0.882,"C",-3.565,"Minor",0.0456,0.247,0.00202,0.112,0.179,127.994,195
"EDM","Pop EDM",0.554,0.696,"B",-7.312,"Major",0.065,0.061,0,0.162,0.6,152.972,174.788
"Latin","Tropical",0.789,0.784,"D",-5.736,"Minor",0.0372,0.117,0.000307,0.26,0.774,117.996,174.993
"EDM","Electro House",0.511,0.568,"A",-11.137,"Major",0.0416,0.779,0.78,0.125,0.0377,106.977,236
"Rap","Southern Hip-Hop",0.756,0.53,"G",-9.639,"Major",0.142,0.00138,0.00701,0.323,0.524,79.855,274.307
"Rap","Southern Hip-Hop",0.799,0.923,"Asharp/Bflat",-6.108,"Minor",0.119,0.0366,1.33e-05,0.41,0.776,109.964,290.667
"EDM","Big Room",0.573,0.92,"Asharp/Bflat",-3.925,"Minor",0.0367,0.000226,0.914,0.065,0.545,128.015,240.011
"EDM","Big Room",0.617,0.721,"F",-15.563,"Major",0.0569,0.102,0.679,0.173,0.193,128.003,150.01
"Rock","Classic Rock",0.491,0.613,"C",-5.567,"Major",0.0266,0.00511,0,0.107,0.175,75.907,308.867
"R&B","Neo Soul",0.775,0.719,"F",-8.613,"Minor",0.447,0.0957,0,0.0962,0.853,107.677,180
"Pop","Indie Poptimism",0.646,0.826,"B",-5.635,"Major",0.0303,0.373,0.749,0.0688,0.853,150.077,205.45
