CGNDB_ID,GEOGRAPHICAL_NAME,CONCISE_CODE,LATITUDE,LONGITUDE
JCBMZ,100 Mile House,MUN1,51.6427780,-121.2955560
JABNO,Abbotsford,CITY,49.0522220,-122.3291670
EFGJT,Abercorn,TOWN,45.0333334,-72.6666667
HABKQ,Aberdeen,TOWN,52.3255360,-106.2915110
EKTXA,Abitibi,MUN1,48.5666666,-78.0000000
EKTWZ,Abitibi-Ouest,MUN1,48.7500000,-79.1666667
ENODS,Abitibi-Témiscamingue,MUN1,48.1000000,-77.7833330
EKTWY,Acton,MUN1,45.6500000,-72.5666666
EKVLQ,Acton Vale,CITY,45.6500000,-72.5666666
ABZJA,Admirals Beach,TOWN,47.0171497,-53.5989861
ERCBN,Ahuntsic-Cartierville,TOWN,45.5500000,-73.6666670
IAQFR,Airdrie,CITY,51.2922222,-114.0141667
FACAG,Ajax,TOWN,43.8582100,-79.0363500
HAPNP,Alameda,TOWN,49.2681464,-102.2870583
BADOW,Alberton,TOWN,46.8128040,-64.0652970
HABLS,Allan,TOWN,51.8958806,-106.0603667
EFHQD,Alma,CITY,48.5500000,-71.6500000
GAAPV,Altona,TOWN,49.1047220,-97.5588890
CAAOO,Amherst,TOWN,45.8333920,-64.2129680
FEVJQ,Amherstburg,TOWN,42.1172222,-83.0441666
EFHXK,Amos,CITY,48.5666666,-78.1166667
EFHXY,Amqui,CITY,48.4666667,-67.4333333
AAADK,Anchor Point,TOWN,51.2389361,-56.7885527
ERCAA,Anjou,TOWN,45.6055556,-73.5541667
CBUCB,Annapolis,MUN1,44.5834100,-65.1660700
CAASF,Annapolis Royal,TOWN,44.7437290,-65.5189070
CBUCC,Antigonish,MUN1,45.6667400,-61.9159550
EKTWX,Antoine-Labelle,MUN1,46.8833333,-75.3333333
ABEWP,Appleton,TOWN,48.9817361,-54.8572361
AAAFY,Aquaforte,TOWN,47.0080555,-52.9563889
HAQMG,Arborfield,TOWN,53.1056694,-103.6607417
GAAYG,Arborg,TOWN,50.9072220,-97.2169440
HABTN,Arcola,TOWN,49.6354522,-102.4919222
EKTWW,Argenteuil,MUN1,45.6833334,-74.4166667
CBUCN,Argyle,MUN1,43.9334090,-65.7660900
JAQIY,Armstrong,CITY,50.4483330,-119.1966670
ABFBL,Arnold's Cove,TOWN,47.7689194,-53.9917694
FADTN,Arnprior,TOWN,45.4347223,-76.3580556
EKTWV,Arthabaska,MUN1,45.9166667,-72.0833333
HAMLA,Asquith,TOWN,52.1347731,-107.2266111
HAOOY,Assiniboia,TOWN,49.6291139,-105.9886333
IARFF,Athabasca,TOWN,54.7166666,-113.2841667
FDJFO,Aurora,TOWN,43.9976300,-79.4698800
EKTWU,Avignon,MUN1,48.1000000,-66.8500000
ABFBK,Avondale,TOWN,47.3991028,-53.2264333
EKVMH,Ayer's Cliff,TOWN,45.1666666,-72.0500000
FAEIY,Aylmer,TOWN,42.7825700,-80.9826100
AAAMM,Badger,TOWN,48.9788806,-56.0416916
ABAUI,Baie Verte,TOWN,49.9087083,-56.1946584
EFKHC,Baie-Comeau,CITY,49.2166666,-68.1500000
ESADS,Baie-D'Urfé,CITY,45.4084050,-73.9153770
EQFYM,Baie-Saint-Paul,CITY,47.4406490,-70.5094610
EFKJV,Baie-Trinité,TOWN,49.4166666,-67.3000000
ABFBG,Baine Harbour,TOWN,47.3659444,-54.8972055
HACOG,Balcarres,TOWN,50.8049556,-103.5442500
HACOO,Balgonie,TOWN,50.4914583,-104.2629111
FEVJP,Bancroft,TOWN,45.0550000,-77.7577778
IACYE,Banff,TOWN,51.1777778,-115.5736111
EFKXD,Barkmere,CITY,46.0025690,-74.5732460
IADKX,Barrhead,TOWN,54.1216667,-114.4036111
FAFFD,Barrie,CITY,44.3712400,-79.6769700
JDIBE,Barriere,MUN1,51.1797220,-120.1236110
CBUCO,Barrington,MUN1,43.6834120,-65.5494160
ENODV,Bas-Saint-Laurent,MUN1,48.3333333,-68.6666667
IADLO,Bashaw,TOWN,52.5830555,-112.9702778
IADLQ,Bassano,TOWN,50.7875000,-112.4683333
DAFQX,Bathurst,CITY,47.6261110,-65.6283330
HACRM,Battleford,TOWN,52.7384556,-108.3152528
AAAYB,Bauline,TOWN,47.7008305,-52.8195695
AAAYG,Bay Bulls,TOWN,47.3261583,-52.7938750
ABFBQ,Bay L'Argent,TOWN,47.5426640,-54.8860610
ABAUE,Bay Roberts,TOWN,47.5827278,-53.2932639
ABAUF,Bay de Verde,TOWN,48.1011611,-52.8895167
ABSWP,Baytona,TOWN,49.3305861,-54.7841194
ABEXU,Beachside,TOWN,49.6428889,-55.8991139
ESAEX,Beaconsfield,CITY,45.4241600,-73.8663910
DBEFI,Beaubassin East,MUN1,46.1735000,-64.3113000
DBESR,Beaubassin-Est,MUN1,46.1735000,-64.3113000
ESNRR,Beauce-Centre,MUN1,46.2000000,-70.8166670
EKTWT,Beauce-Sartigan,MUN1,45.9666667,-70.6500000
EQNHB,Beauceville,CITY,46.2146550,-70.7759430
EKMWX,Beauharnois,CITY,45.3132160,-73.8779520
EKTWS,Beauharnois-Salaberry,MUN1,45.3166667,-73.9333333
IADZF,Beaumont,CITY,53.3525000,-113.4152778
ERGOX,Beauport,TOWN,46.8666670,-71.1833330
EFLYD,Beaupré,CITY,47.0500000,-70.9000000
GABYK,Beausejour,TOWN,50.0622220,-96.5161110
IATWR,Beaver County,MUN1,53.2497222,-112.1850000
IAEAU,Beaverlodge,TOWN,55.2091667,-119.4288889
EFMFP,Bedford,CITY,45.1166667,-72.9833333
ABFBY,Bellburns,TOWN,50.3279667,-57.5284278
EKTWQ,Bellechasse,MUN1,46.7333334,-70.7166667
ABAUM,Belleoram,TOWN,47.5247330,-55.4160940
EFMPR,Belleterre,CITY,47.3833334,-78.7000000
FEVJS,Belleville,CITY,44.2566666,-77.3697222
EFMRW,Beloeil,CITY,45.5666670,-73.2000000
HAKAN,Bengough,TOWN,49.3963611,-105.1283028
DAHAY,Beresford,TOWN,47.7110110,-65.7059580
EFNEP,Berthierville,CITY,46.0833334,-73.1833333
CACVC,Berwick,TOWN,45.0457430,-64.7360950
HAUQL,Bienfait,TOWN,49.1391556,-102.8014869
HADYJ,Big River,TOWN,53.8350981,-107.0330556
HATVI,Biggar,TOWN,52.0634611,-107.9790750
HAUTS,Birch Hills,TOWN,52.9840353,-105.4325194
IATWF,Birch Hills County,MUN1,55.7230555,-118.0772222
AABTS,Birchy Bay,TOWN,49.3215389,-54.7361083
AABUX,Bird Cove,TOWN,51.0460695,-56.9334055
GACVX,Birtle,TOWN,50.4225000,-101.0475000
AAUZA,Bishop's Cove,TOWN,47.6367556,-53.2327389
AABVP,Bishop's Falls,TOWN,49.0209528,-55.4898944
IAGFN,Blackfalds,TOWN,52.3783333,-113.7961111
HAECA,Blaine Lake,TOWN,52.8283000,-106.8814306
EFNZP,Blainville,CITY,45.6796270,-73.8738740
FEVPI,Blind River,TOWN,46.3022700,-82.8779500
FEUYB,Blue Mountains,TOWN,44.4780556,-80.4013889
FEVIK,Bluewater,TOWN,43.4767300,-81.6029100
EJNDX,Bois-des-Filion,CITY,45.6666667,-73.7500000
EITMR,Boisbriand,CITY,45.6122222,-73.8391667
GADFN,Boissevain,TOWN,49.2305560,-100.0550000
IAREZ,Bon Accord,TOWN,53.8369444,-113.4122222
EKTWP,Bonaventure,MUN1,48.0500000,-65.4833333
AACKH,Bonavista,TOWN,48.6317917,-53.1041333
IAHBP,Bonnyville,TOWN,54.2672222,-110.7386111
BAEXO,Borden-Carleton,TOWN,46.2616670,-63.6738890
AACMK,Botwood,TOWN,49.1356472,-55.3731528
ESCZQ,Boucherville,CITY,45.6000000,-73.4500000
DBBXR,Bouctouche,TOWN,46.4683330,-64.7402780
IAHYT,Bow Island,TOWN,49.8672222,-111.3788889
IAHDR,Bowden,TOWN,51.9322222,-114.0347222
JABAO,Bowen Island,MUN1,49.3797220,-123.3441670
FDGDU,Bracebridge,TOWN,45.0263889,-79.1900000
FERXS,Bradford West Gwillimbury,TOWN,44.1373700,-79.6173100
FALIF,Brampton,CITY,43.6883334,-79.7608333
AACOM,Branch,TOWN,46.8822222,-53.9644445
GADMZ,Brandon,CITY,49.8469440,-99.9522220
FALJI,Brantford,CITY,43.1569444,-80.2575000
IAUFV,Brazeau County,MUN1,53.1777778,-115.2194444
HAKJU,Bredenbury,TOWN,50.9412528,-102.0440444
AACRQ,Brent's Cove,TOWN,49.9369444,-55.7069444
CAFBR,Bridgewater,TOWN,44.3774980,-64.5186050
AACSR,Brighton,TOWN,49.5400695,-55.6432555
FEVMN,Brighton,TOWN,44.1222222,-77.7641667
ACGFS,Brigus,TOWN,47.5329806,-53.2150917
HAKLJ,Broadview,TOWN,50.3749722,-102.5772583
FDGDV,Brockville,CITY,44.5973300,-75.6855000
EFRDX,Brome,TOWN,45.2000000,-72.5666666
EKTWO,Brome-Missisquoi,MUN1,45.1333333,-72.8000000
EFRED,Bromont,CITY,45.3166667,-72.6500000
ERGPJ,Brompton,TOWN,45.4708333,-71.9416667
IAIDN,Brooks,CITY,50.5672220,-111.8950000
ESCMC,Brossard,CITY,45.4552630,-73.4677930
ERJEM,Brownsburg-Chatham,CITY,45.6763100,-74.4081250
FEQQX,Bruce,MUN1,44.5047900,-81.2493100
FAMEE,Bruce Mines,TOWN,46.3010000,-83.7946700
IAJHT,Bruderheim,TOWN,53.7997222,-112.9283333
HAKRV,Bruno,TOWN,52.2654556,-105.5248083
AACYQ,Bryant's Cove,TOWN,47.6760917,-53.1930222
ACGAI,Buchans,TOWN,48.8238000,-56.8490694
AADBW,Burgeo,TOWN,47.6199167,-57.6216334
AADCE,Burin,TOWN,47.0828410,-55.1752720
FAMXK,Burlington,CITY,43.3700600,-79.8140300
AADCQ,Burlington,TOWN,49.7501528,-56.0174223
JAEBN,Burnaby,CITY,49.2427780,-122.9727780
ABAYX,Burnt Islands,TOWN,47.6141944,-58.8701306
HASJA,Burstall,TOWN,50.6556306,-109.9093722
EKTWR,Bécancour,MUN1,46.3166667,-72.1833334
HAUHQ,Cabri,TOWN,50.6218778,-108.4633056
FAYKX,Caledon,TOWN,43.8660500,-79.8590100
IAKID,Calgary,CITY,51.0458333,-114.0574999
IAKIL,Calmar,TOWN,53.2577778,-113.8108333
ERIGG,Calumet,TOWN,45.6513889,-74.6361111
FANXK,Cambridge,CITY,43.3972220,-80.3113890
JCJEN,Campbell River,CITY,50.0230560,-125.2436110
AADLR,Campbellton,TOWN,49.2705194,-54.9319306
DAHEI,Campbellton,CITY,47.9993360,-66.6835110
DBEST,Campobello Island,MUN1,44.8859840,-66.9109680
IAKKF,Camrose,CITY,53.0247222,-112.8241667
IBABC,Camrose County,MUN1,52.9127780,-112.8166670
EFTDR,Candiac,CITY,45.3948490,-73.5191490
EKTWN,Caniapiscau,MUN1,52.7833333,-67.0833333
IAPEQ,Canmore,TOWN,51.0830555,-115.3683333
HABQM,Canora,TOWN,51.6363750,-102.4310056
EFTLX,Cap-Chat,CITY,49.1000000,-66.6833334
EQYUD,Cap-Santé,CITY,46.6700740,-71.7704630
CBUCD,Cape Breton,MUN1,46.0000690,-60.3158960
